order_id,order_date,customer_id,customer_type,product_category,product_name,unit_price,quantity,total_amount,prefecture,payment_method
K004130,2024-01-01,C0076,個人,OA用品,コピー用紙（A4・500枚）,916,4,3664,神奈川,クレジットカード
K003218,2024-01-01,C0009,法人,OA用品,コピー用紙（A4・500枚）,480,4,1921,神奈川,請求書払い
K004726,2024-01-01,C0011,法人,生活用品,ハンドソープ詰替,1890,13,24568,大阪,請求書払い
K002605,2024-01-01,C0257,法人,文具,修正テープ,1183,1,1183,東京,銀行振込
K002903,2024-01-01,C0285,法人,OA用品,電卓,1237,2,2474,神奈川,請求書払い
K002715,2024-01-01,C0065,法人,文具,修正テープ,1589,11,17482,東京,請求書払い
K004777,2024-01-01,C0263,法人,食品飲料,ミネラルウォーター（24本）,789,7,5521,埼玉,請求書払い
K003627,2024-01-01,C0066,法人,文具,ノート（A4・5冊）,2001,20,40019,東京,クレジットカード
K004152,2024-01-01,C0178,法人,OA用品,トナーカートリッジ,1019,2,2038,北海道,銀行振込
K002912,2024-01-01,C0151,法人,食品飲料,ドリップコーヒー（50杯）,958,7,6706,東京,クレジットカード
K002328,2024-01-01,C0225,法人,OA用品,電卓,2145,7,15015,大阪,クレジットカード
K004979,2024-01-01,C0112,法人,食品飲料,スティックスープ,960,7,6722,北海道,請求書払い
K002612,2024-01-02,C0008,個人,文具,クリアファイル（20枚）,1309,7,9161,大阪,クレジットカード
K000822,2024-01-02,C0103,法人,OA用品,USBメモリ32GB,1898,2,3797,東京,請求書払い
K001427,2024-01-02,C0280,法人,文具,ノート（A4・5冊）,1228,10,12276,東京,銀行振込
K001922,2024-01-02,C0141,個人,食品飲料,緑茶ペット（24本）,1300,4,5201,大阪,クレジットカード
K002633,2024-01-02,C0006,個人,文具,修正テープ,759,4,3035,大阪,クレジットカード
K000209,2024-01-02,C0123,個人,文具,付箋セット,1254,14,17551,福岡,クレジットカード
K004412,2024-01-02,C0121,個人,生活用品,トイレットペーパー（12ロール）,905,10,9052,愛知,クレジットカード
K003318,2024-01-02,C0257,法人,オフィス家具,オフィスチェア,1045,5,5226,東京,請求書払い
K002295,2024-01-02,C0142,法人,文具,ノート（A4・5冊）,1084,2,2168,埼玉,請求書払い
K001902,2024-01-02,C0079,個人,OA用品,USBメモリ32GB,2357,5,11784,福岡,クレジットカード
K001516,2024-01-03,C0288,個人,文具,付箋セット,2030,2,4060,東京,クレジットカード
K004901,2024-01-03,C0242,個人,OA用品,LANケーブル（5m）,478,8,3821,埼玉,クレジットカード
K000129,2024-01-03,C0246,法人,OA用品,USBメモリ32GB,972,4,3887,東京,請求書払い
K003913,2024-01-03,C0275,法人,生活用品,紙コップ（100個）,1663,2,3326,愛知,クレジットカード
K001169,2024-01-03,C0099,法人,生活用品,ウェットティッシュ,1242,4,4966,東京,請求書払い
K002762,2024-01-03,C0065,法人,食品飲料,緑茶ペット（24本）,686,14,9606,大阪,請求書払い
K004771,2024-01-03,C0057,法人,OA用品,USBメモリ32GB,747,1,747,東京,クレジットカード
K000073,2024-01-03,C0242,個人,生活用品,紙コップ（100個）,2049,1,2049,大阪,クレジットカード
K004504,2024-01-03,C0221,個人,オフィス家具,パーテーション,1325,9,11928,埼玉,クレジットカード
K002296,2024-01-03,C0084,法人,文具,ボールペン（10本）,609,2,1219,東京,クレジットカード
K003745,2024-01-03,C0119,法人,文具,ノート（A4・5冊）,2238,2,4476,東京,銀行振込
K001484,2024-01-03,C0286,法人,OA用品,コピー用紙（A4・500枚）,1875,10,18753,愛知,銀行振込
K002819,2024-01-04,C0189,法人,食品飲料,スティックスープ,1249,5,6245,東京,請求書払い
K002693,2024-01-04,C0021,個人,食品飲料,緑茶ペット（24本）,2817,8,22533,大阪,クレジットカード
K003783,2024-01-04,C0229,個人,生活用品,紙コップ（100個）,1366,6,8198,東京,クレジットカード
K002350,2024-01-04,C0133,法人,文具,修正テープ,1367,4,5467,東京,請求書払い
K003711,2024-01-04,C0266,個人,文具,付箋セット,1822,1,1822,愛知,クレジットカード
K003108,2024-01-04,,個人,OA用品,コピー用紙（A4・500枚）,1253,3,3759,神奈川,クレジットカード
K001284,2024-01-04,C0241,法人,生活用品,ハンドソープ詰替,710,8,5683,埼玉,請求書払い
K004688,2024-01-04,C0084,法人,文具,クリアファイル（20枚）,705,4,2818,東京,銀行振込
K003099,2024-01-04,C0076,個人,OA用品,USBメモリ32GB,2073,2,4145,愛知,クレジットカード
K001887,2024-01-04,C0226,個人,生活用品,紙コップ（100個）,2378,3,7134,埼玉,クレジットカード
K003272,2024-01-04,C0170,法人,文具,付箋セット,1546,11,17004,大阪,請求書払い
K000946,2024-01-04,C0234,個人,オフィス家具,パーテーション,927,6,5561,東京,請求書払い
K002529,2024-01-04,C0072,法人,文具,ノート（A4・5冊）,1269,13,16499,神奈川,請求書払い
K000408,2024-01-04,C0042,個人,OA用品,USBメモリ32GB,988,9,8895,大阪,代金引換
K000206,2024-01-04,C0237,個人,食品飲料,緑茶ペット（24本）,1110,5,5551,東京,クレジットカード
K003314,2024-01-04,C0211,法人,OA用品,トナーカートリッジ,825,24,19802,北海道,請求書払い
K004757,2024-01-04,C0057,法人,OA用品,電卓,3572,1,3572,福岡,請求書払い
K000899,2024-01-05,C0270,個人,文具,ノート（A4・5冊）,2795,9,25156,神奈川,クレジットカード
K004156,2024-01-05,C0069,個人,文具,修正テープ,2577,3,7731,東京,クレジットカード
K000471,2024-01-05,C0201,個人,食品飲料,ミネラルウォーター（24本）,2490,2,4980,北海道,クレジットカード
K001744,2024-01-05,C0275,法人,オフィス家具,書庫（スチール）,2212,2,4424,神奈川,請求書払い
K000457,2024-01-05,C0010,法人,文具,修正テープ,1121,7,7849,神奈川,請求書払い
K001753,2024-01-05,C0171,個人,生活用品,ウェットティッシュ,508,12,6101,北海道,クレジットカード
K003118,2024-01-05,C0017,法人,OA用品,トナーカートリッジ,789,2,1579,福岡,銀行振込
K001800,2024-01-05,C0102,個人,食品飲料,ミネラルウォーター（24本）,1413,4,5652,神奈川,クレジットカード
K002225,2024-01-05,C0270,個人,文具,ノート（A4・5冊）,1337,1,1337,東京,クレジットカード
K003008,2024-01-05,C0147,法人,OA用品,トナーカートリッジ,1039,7,7273,神奈川,クレジットカード
