注文ID,注文日,顧客ID,顧客タイプ,商品カテゴリ,商品名,単価,数量,売上金額,都道府県,支払方法
K004130,2024-01-01,C0076,個人,OA用品,コピー用紙（A4・500枚）,2290,3,6870,神奈川,クレジットカード
K003218,2024-01-01,C0009,法人,OA用品,コピー用紙（A4・500枚）,1200,3,3600,神奈川,請求書払い
K004726,2024-01-01,C0011,法人,生活用品,ハンドソープ詰替,2268,13,29484,大阪,請求書払い
K002605,2024-01-01,C0257,法人,文具,修正テープ,710,2,1420,東京,銀行振込
K002903,2024-01-01,C0285,法人,OA用品,電卓,3092,1,3092,神奈川,請求書払い
K002715,2024-01-01,C0065,法人,文具,修正テープ,953,16,15248,東京,請求書払い
K004777,2024-01-01,C0263,法人,食品飲料,ミネラルウォーター（24本）,394,13,5122,埼玉,請求書払い
K003627,2024-01-01,C0066,法人,文具,ノート（A4・5冊）,1201,30,36030,東京,クレジットカード
K004152,2024-01-01,C0178,法人,OA用品,トナーカートリッジ,2548,1,2548,北海道,銀行振込
K002912,2024-01-01,C0151,法人,食品飲料,ドリップコーヒー（50杯）,479,13,6227,東京,クレジットカード
K002328,2024-01-01,C0225,法人,OA用品,電卓,5362,5,26810,大阪,クレジットカード
K004979,2024-01-01,C0112,法人,食品飲料,スティックスープ,480,13,6240,北海道,請求書払い
K002612,2024-01-02,C0008,個人,文具,クリアファイル（20枚）,785,10,7850,大阪,クレジットカード
K000822,2024-01-02,C0103,法人,OA用品,USBメモリ32GB,4745,1,4745,東京,請求書払い
K001427,2024-01-02,C0280,法人,文具,ノート（A4・5冊）,737,15,11055,東京,銀行振込
K001922,2024-01-02,C0141,個人,食品飲料,緑茶ペット（24本）,650,7,4550,大阪,クレジットカード
K002633,2024-01-02,C0006,個人,文具,修正テープ,455,6,2730,大阪,クレジットカード
K000209,2024-01-02,C0123,個人,文具,付箋セット,752,21,15792,福岡,クレジットカード
K004412,2024-01-02,C0121,個人,生活用品,トイレットペーパー（12ロール）,1086,10,10860,愛知,クレジットカード
K003318,2024-01-02,C0257,法人,オフィス家具,オフィスチェア,7315,2,14630,東京,請求書払い
K002295,2024-01-02,C0142,法人,文具,ノート（A4・5冊）,650,3,1950,埼玉,請求書払い
K001902,2024-01-02,C0079,個人,OA用品,USBメモリ32GB,5892,4,23568,福岡,クレジットカード
K001516,2024-01-03,C0288,個人,文具,付箋セット,1218,3,3654,東京,クレジットカード
K004901,2024-01-03,C0242,個人,OA用品,LANケーブル（5m）,1195,6,7170,埼玉,クレジットカード
K000129,2024-01-03,C0246,法人,OA用品,USBメモリ32GB,2430,3,7290,東京,請求書払い
K003913,2024-01-03,C0275,法人,生活用品,紙コップ（100個）,1996,2,3992,愛知,クレジットカード
K001169,2024-01-03,C0099,法人,生活用品,ウェットティッシュ,1490,4,5960,東京,請求書払い
K002762,2024-01-03,C0065,法人,食品飲料,緑茶ペット（24本）,343,25,8575,大阪,請求書払い
K004771,2024-01-03,C0057,法人,OA用品,USBメモリ32GB,1868,1,1868,東京,クレジットカード
K000073,2024-01-03,C0242,個人,生活用品,紙コップ（100個）,2459,1,2459,大阪,クレジットカード
K004504,2024-01-03,C0221,個人,オフィス家具,パーテーション,9275,3,27825,埼玉,クレジットカード
K002296,2024-01-03,C0084,法人,文具,ボールペン（10本）,365,3,1095,東京,クレジットカード
K003745,2024-01-03,C0119,法人,文具,ノート（A4・5冊）,1343,3,4029,東京,銀行振込
K001484,2024-01-03,C0286,法人,OA用品,コピー用紙（A4・500枚）,4688,7,32816,愛知,銀行振込
K002819,2024-01-04,C0189,法人,食品飲料,スティックスープ,624,9,5616,東京,請求書払い
K002693,2024-01-04,C0021,個人,食品飲料,緑茶ペット（24本）,1408,14,19712,大阪,クレジットカード
K003783,2024-01-04,C0229,個人,生活用品,紙コップ（100個）,1639,6,9834,東京,クレジットカード
K002350,2024-01-04,C0133,法人,文具,修正テープ,820,6,4920,東京,請求書払い
K003711,2024-01-04,C0266,個人,文具,付箋セット,1093,2,2186,愛知,クレジットカード
K003108,2024-01-04,,個人,OA用品,コピー用紙（A4・500枚）,3132,2,6264,神奈川,クレジットカード
K001284,2024-01-04,C0241,法人,生活用品,ハンドソープ詰替,852,8,6816,埼玉,請求書払い
K004688,2024-01-04,C0084,法人,文具,クリアファイル（20枚）,423,6,2538,東京,銀行振込
K003099,2024-01-04,C0076,個人,OA用品,USBメモリ32GB,5182,1,5182,愛知,クレジットカード
K001887,2024-01-04,C0226,個人,生活用品,紙コップ（100個）,2854,3,8562,埼玉,クレジットカード
K003272,2024-01-04,C0170,法人,文具,付箋セット,928,16,14848,大阪,請求書払い
K000946,2024-01-04,C0234,個人,オフィス家具,パーテーション,6489,2,12978,東京,請求書払い
K002529,2024-01-04,C0072,法人,文具,ノート（A4・5冊）,761,20,15220,神奈川,請求書払い
K000408,2024-01-04,C0042,個人,OA用品,USBメモリ32GB,2470,6,14820,大阪,代金引換
K000206,2024-01-04,C0237,個人,食品飲料,緑茶ペット（24本）,555,9,4995,東京,クレジットカード
K003314,2024-01-04,C0211,法人,OA用品,トナーカートリッジ,2062,17,35054,北海道,請求書払い
K004757,2024-01-04,C0057,法人,OA用品,電卓,8930,1,8930,福岡,請求書払い
K000899,2024-01-05,C0270,個人,文具,ノート（A4・5冊）,1677,14,23478,神奈川,クレジットカード
K004156,2024-01-05,C0069,個人,文具,修正テープ,1546,4,6184,東京,クレジットカード
K000471,2024-01-05,C0201,個人,食品飲料,ミネラルウォーター（24本）,1245,4,4980,北海道,クレジットカード
K001744,2024-01-05,C0275,法人,オフィス家具,書庫（スチール）,15484,1,15484,神奈川,請求書払い
K000457,2024-01-05,C0010,法人,文具,修正テープ,673,10,6730,神奈川,請求書払い
K001753,2024-01-05,C0171,個人,生活用品,ウェットティッシュ,610,12,7320,北海道,クレジットカード
K003118,2024-01-05,C0017,法人,OA用品,トナーカートリッジ,1972,1,1972,福岡,銀行振込
K001800,2024-01-05,C0102,個人,食品飲料,ミネラルウォーター（24本）,706,7,4942,神奈川,クレジットカード
K002225,2024-01-05,C0270,個人,文具,ノート（A4・5冊）,802,2,1604,東京,クレジットカード
K003008,2024-01-05,C0147,法人,OA用品,トナーカートリッジ,2598,5,12990,神奈川,クレジットカード
K002978,2024-01-05,C0161,法人,OA用品,USBメモリ32GB,2960,7,20720,福岡,クレジットカード
K004813,2024-01-05,C0245,法人,食品飲料,ドリップコーヒー（50杯）,617,7,4319,神奈川,請求書払い
K001265,2024-01-05,C0019,個人,OA用品,コピー用紙（A4・500枚）,2975,4,11900,東京,請求書払い
K002361,2024-01-05,C0131,法人,OA用品,USBメモリ32GB,3840,9,34560,神奈川,クレジットカード
K002818,2024-01-05,C0137,個人,文具,クリアファイル（20枚）,580,10,5800,神奈川,クレジットカード
K004097,2024-01-05,C0097,個人,文具,クリアファイル（20枚）,660,3,1980,北海道,代金引換
K002132,2024-01-05,C0123,個人,文具,ボールペン（10本）,634,8,5072,大阪,代金引換
K003965,2024-01-05,C0041,個人,オフィス家具,オフィスチェア,10584,4,42336,神奈川,クレジットカード
K000841,2024-01-05,C0028,法人,OA用品,LANケーブル（5m）,3928,10,39280,神奈川,請求書払い
K002534,2024-01-06,C0235,個人,食品飲料,ミネラルウォーター（24本）,182,5,910,大阪,クレジットカード
K003420,2024-01-06,C0017,法人,OA用品,電卓,8078,3,24234,東京,請求書払い
K004547,2024-01-06,C0166,法人,オフィス家具,オフィスチェア,8582,2,17164,東京,請求書払い
K000564,2024-01-06,C0227,法人,文具,ノート（A4・5冊）,722,6,4332,愛知,銀行振込
K002683,2024-01-06,C0257,法人,生活用品,紙コップ（100個）,1742,4,6968,大阪,クレジットカード
K000333,2024-01-06,C0266,個人,食品飲料,緑茶ペット（24本）,868,4,3472,北海道,クレジットカード
K003088,2024-01-07,C0146,個人,オフィス家具,会議用テーブル,3976,1,3976,大阪,クレジットカード
K000245,2024-01-07,C0166,法人,生活用品,紙コップ（100個）,641,5,3205,東京,銀行振込
K003067,2024-01-07,C0008,個人,OA用品,LANケーブル（5m）,2895,2,5790,神奈川,クレジットカード
K002213,2024-01-08,C0085,法人,文具,修正テープ,392,10,3920,愛知,銀行振込
K003946,2024-01-08,C0173,法人,オフィス家具,デスクトップワゴン,3780,1,3780,大阪,銀行振込
K004056,2024-01-08,C0160,法人,生活用品,紙コップ（100個）,2527,2,5054,埼玉,請求書払い
K000795,2024-01-08,C0065,法人,OA用品,トナーカートリッジ,1945,5,9725,大阪,銀行振込
K001074,2024-01-08,C0150,個人,文具,付箋セット,503,10,5030,神奈川,代金引換
K000372,2024-01-08,C0092,法人,食品飲料,ミネラルウォーター（24本）,564,18,10152,大阪,クレジットカード
K000937,2024-01-08,C0052,法人,生活用品,ゴミ袋（90L・50枚）,930,13,12090,東京,請求書払い
K003264,2024-01-08,C0298,個人,文具,付箋セット,403,9,3627,東京,クレジットカード
K001514,2024-01-08,C0289,法人,OA用品,USBメモリ32GB,1660,1,1660,東京,請求書払い
K000172,2024-01-08,C0082,法人,OA用品,コピー用紙（A4・500枚）,1590,10,15900,愛知,銀行振込
K004136,2024-01-08,C0244,法人,生活用品,ハンドソープ詰替,847,21,17787,愛知,請求書払い
K002709,2024-01-08,C0226,個人,生活用品,紙コップ（100個）,954,15,14310,東京,代金引換
K002704,2024-01-08,C0293,個人,文具,クリアファイル（20枚）,666,34,22644,神奈川,請求書払い
K003224,2024-01-09,C0279,法人,食品飲料,スティックスープ,658,4,2632,埼玉,クレジットカード
K001814,2024-01-09,C0165,個人,食品飲料,ドリップコーヒー（50杯）,391,4,1564,愛知,クレジットカード
K004235,2024-01-09,C0083,個人,OA用品,トナーカートリッジ,2520,3,7560,大阪,クレジットカード
K001050,2024-01-09,C0235,個人,生活用品,紙コップ（100個）,3088,5,15440,東京,クレジットカード
K002686,2024-01-09,C0187,個人,文具,ボールペン（10本）,482,3,1446,愛知,クレジットカード
K003471,2024-01-09,C0109,個人,生活用品,ゴミ袋（90L・50枚）,317,4,1268,愛知,クレジットカード
K000883,2024-01-09,C0002,法人,OA用品,電卓,3498,3,10494,埼玉,請求書払い
K000011,2024-01-09,,法人,生活用品,紙コップ（100個）,1259,2,2518,東京,請求書払い
K002517,2024-01-09,C0109,個人,食品飲料,ドリップコーヒー（50杯）,289,7,2023,神奈川,代金引換
K001747,2024-01-09,C0083,個人,オフィス家具,パーテーション,30716,2,61432,神奈川,代金引換
K000641,2024-01-09,C0231,法人,食品飲料,スティックスープ,336,4,1344,東京,請求書払い
K003690,2024-01-09,C0105,個人,生活用品,ゴミ袋（90L・50枚）,1922,3,5766,東京,クレジットカード
K004552,2024-01-09,C0169,法人,生活用品,紙コップ（100個）,1127,8,9016,福岡,請求書払い
K002422,2024-01-10,C0201,個人,生活用品,ウェットティッシュ,888,2,1776,神奈川,クレジットカード
K001971,2024-01-10,C0292,法人,食品飲料,緑茶ペット（24本）,428,13,5564,東京,銀行振込
K003162,2024-01-10,C0081,法人,OA用品,コピー用紙（A4・500枚）,2415,3,7245,東京,請求書払い
K000926,2024-01-10,C0270,個人,オフィス家具,デスクトップワゴン,3045,1,3045,埼玉,クレジットカード
K002720,2024-01-10,C0059,法人,文具,クリアファイル（20枚）,672,20,13440,神奈川,請求書払い
K004520,2024-01-10,C0071,個人,OA用品,USBメモリ32GB,2075,6,12450,神奈川,請求書払い
K004508,2024-01-10,C0103,法人,オフィス家具,書庫（スチール）,10654,4,42616,神奈川,銀行振込
K001577,2024-01-10,C0039,個人,文具,付箋セット,544,2,1088,大阪,クレジットカード
K000378,2024-01-10,C0156,法人,生活用品,ウェットティッシュ,4040,4,16160,埼玉,銀行振込
K004418,2024-01-10,C0091,個人,文具,クリアファイル（20枚）,605,9,5445,東京,クレジットカード
K003413,2024-01-10,C0194,法人,文具,修正テープ,523,3,1569,福岡,請求書払い
K001203,2024-01-10,C0261,個人,文具,ノート（A4・5冊）,379,20,7580,東京,クレジットカード
K002019,2024-01-10,C0167,法人,OA用品,USBメモリ32GB,4942,1,4942,東京,請求書払い
K004327,2024-01-10,C0226,個人,オフィス家具,デスクトップワゴン,3500,2,7000,大阪,クレジットカード
K003951,2024-01-10,C0047,法人,文具,修正テープ,656,8,5248,大阪,銀行振込
K000357,2024-01-11,C0063,個人,OA用品,LANケーブル（5m）,2178,3,6534,東京,代金引換
K002398,2024-01-11,C0191,個人,文具,クリアファイル（20枚）,424,4,1696,愛知,クレジットカード
K000516,2024-01-11,C0078,法人,文具,修正テープ,377,8,3016,東京,請求書払い
K004197,2024-01-11,C0143,法人,オフィス家具,オフィスチェア,15764,2,31528,愛知,クレジットカード
K000238,2024-01-11,C0105,個人,文具,付箋セット,1228,6,7368,東京,クレジットカード
K001048,2024-01-11,C0107,個人,生活用品,ゴミ袋（90L・50枚）,1129,3,3387,神奈川,クレジットカード
K002976,2024-01-11,C0039,個人,OA用品,LANケーブル（5m）,2155,1,2155,福岡,クレジットカード
K000902,2024-01-11,C0106,個人,食品飲料,スティックスープ,388,7,2716,北海道,請求書払い
K001970,2024-01-11,C0270,個人,OA用品,トナーカートリッジ,1585,6,9510,福岡,代金引換
K001697,2024-01-11,C0221,個人,生活用品,ゴミ袋（90L・50枚）,1172,18,21096,北海道,クレジットカード
K001202,2024-01-11,C0094,個人,文具,修正テープ,599,3,1797,大阪,クレジットカード
K003926,2024-01-11,C0063,個人,食品飲料,緑茶ペット（24本）,759,11,8349,埼玉,クレジットカード
K000875,2024-01-11,C0085,法人,文具,クリアファイル（20枚）,465,32,14880,東京,請求書払い
